COD. UF;COD. MUNIC;POPULAÇÃO ESTIMADA;;;;;;
11;00015;22853;;;;;;
11;00023;108573;;;;;;
11;00031;5690;;;;;;
11;00049;97637;;;;;;
11;00056;16975;;;;;;
11;00064;16588;;;;;;
11;00072;8001;;;;;;
11;00080;13522;;;;;;
11;00098;32717;;;;;;
11;00106;43553;;;;;;
11;00114;55583;;;;;;
11;00122;139359;;;;;;
11;00130;34063;;;;;;
11;00148;16504;;;;;;
11;00155;38681;;;;;;
11;00189;39053;;;;;;
11;00205;514873;;;;;;
11;00254;20518;;;;;;
11;00262;3753;;;;;;
11;00288;62559;;;;;;
11;00296;7877;;;;;;
11;00304;108528;;;;;;
11;00320;22267;;;;;;
11;00338;28496;;;;;;
11;00346;13837;;;;;;
11;00379;12263;;;;;;
11;00403;17463;;;;;;
11;00452;30729;;;;;;
11;00502;8056;;;;;;
11;00601;4345;;;;;;
11;00700;9225;;;;;;
11;00809;24163;;;;;;
11;00908;3456;;;;;;
11;00924;10129;;;;;;
11;00940;15883;;;;;;
11;01005;8420;;;;;;
11;01104;9209;;;;;;
11;01203;6657;;;;;;
11;01302;9740;;;;;;
11;01401;12241;;;;;;
11;01435;6577;;;;;;
11;01450;4390;;;;;;
11;01468;2311;;;;;;
11;01476;3279;;;;;;
11;01484;5605;;;;;;
11;01492;17511;;;;;;
11;01500;12954;;;;;;
11;01559;4536;;;;;;
11;01609;8540;;;;;;
11;01708;11377;;;;;;
11;01757;8265;;;;;;
11;01807;6843;;;;;;
12;00013;14657;;;;;;
12;00054;8573;;;;;;
12;00104;27841;;;;;;
12;00138;13766;;;;;;
12;00179;10922;;;;;;
12;00203;98382;;;;;;
12;00252;19739;;;;;;
12;00302;37644;;;;;;
12;00328;9787;;;;;;
12;00336;20329;;;;;;
12;00344;12776;;;;;;
12;00351;17951;;;;;;
12;00385;17127;;;;;;
12;00393;11275;;;;;;
12;00401;387852;;;;;;
12;00427;15537;;;;;;
12;00435;7143;;;;;;
12;00450;22352;;;;;;
12;00500;43916;;;;;;
